SA2,FT statistic,FT p-value,FT degrees of freedom
Abbotsford,0,1,64
Airport West,0,1,64
Albert Park,0,1,64
Alphington - Fairfield,0,1,64
Altona,0,1,64
Altona Meadows,0,1,64
Altona North,0,1,64
Ardeer - Albion,0,1,64
Armadale,0,1,64
Ascot Vale,0,1,64
Ashburton (Vic.),0,1,64
Ashwood - Chadstone,0,1,64
Aspendale Gardens - Waterways,0,1,64
Bacchus Marsh,0,1,64
Balwyn,0,1,64
Balwyn North,0,1,64
Bayswater,0,1,64
Bayswater North,0,1,64
Beaconsfield - Officer,0,1,64
Beaumaris,0,1,64
Belgrave - Selby,0,1,64
Bentleigh East (North),0,1,64
Bentleigh East (South),0,1,64
Bentleigh - McKinnon,0,1,64
Berwick - North,0,1,64
Berwick - South,0,1,64
Blackburn,0,1,64
Blackburn South,0,1,64
Boronia,0,1,64
Box Hill,0,1,64
Box Hill North,0,1,64
Braeside,0,1,64
Braybrook,0,1,64
Brighton East,0,1,64
Brighton (Vic.),0,1,64
Broadmeadows,0,1,64
Brunswick,0,1,64
Brunswick East,0,1,64
Brunswick West,0,1,64
Bulleen,0,1,64
Bundoora - East,0,1,64
Bundoora - North,0,1,64
Bundoora - West,0,1,64
Bunyip - Garfield,0,1,64
Burnside,0,1,64
Burnside Heights,0,1,64
Burwood,0,1,64
Burwood East,0,1,64
Cairnlea,0,1,64
Camberwell,0,1,64
Campbellfield - Coolaroo,0,1,64
Carlton,0,1,64
Carlton North - Princes Hill,0,1,64
Carnegie,0,1,64
Caroline Springs,0,1,64
Carrum Downs,0,1,64
Carrum - Patterson Lakes,0,1,64
Caulfield - North,0,1,64
Caulfield - South,0,1,64
Chelsea - Bonbeach,0,1,64
Chelsea Heights,0,1,64
Cheltenham - Highett (East),0,1,64
Cheltenham - Highett (West),0,1,64
Chirnside Park,0,1,64
Clarinda - Oakleigh South,0,1,64
Clayton,0,1,64
Clayton South,0,1,64
Coburg,0,1,64
Coburg North,0,1,64
Collingwood,0,1,64
Craigieburn - Central,0,1,64
Craigieburn - North,0,1,64
Craigieburn - South,0,1,64
Craigieburn - West,0,1,64
Cranbourne,0,1,64
Cranbourne East,0,1,64
Cranbourne North,0,1,64
Cranbourne South,0,1,64
Cranbourne West,0,1,64
Croydon - East,0,1,64
Croydon Hills - Warranwood,0,1,64
Croydon South,0,1,64
Croydon - West,0,1,64
Dandenong,0,1,64
Dandenong North,0,1,64
Deer Park - Derrimut,0,1,64
Delahey,0,1,64
Dingley Village,0,1,64
Docklands,0,1,64
Doncaster,0,1,64
Doncaster East (North),0,1,64
Doncaster East (South),0,1,64
Donvale - Park Orchards,0,1,64
Doreen,0,1,64
Doveton,0,1,64
Dromana,0,1,64
East Melbourne,0,1,64
Edithvale - Aspendale,0,1,64
Elsternwick,0,1,64
Eltham,0,1,64
Elwood,0,1,64
Emerald - Cockatoo,0,1,64
Endeavour Hills - North,0,1,64
Endeavour Hills - South,0,1,64
Epping - East,0,1,64
Epping - South,0,1,64
Epping - West,0,1,64
Essendon - Aberfeldie,0,1,64
Fawkner,0,1,64
Ferntree Gully (North),0,1,64
Ferntree Gully (South) - Upper Ferntree Gully,0,1,64
Fitzroy,0,1,64
Fitzroy North,0,1,64
Flemington,0,1,64
Flemington Racecourse,0,1,64
Flinders,0,1,64
Footscray,0,1,64
Forest Hill,0,1,64
Frankston,0,1,64
Frankston North,0,1,64
Frankston South,0,1,64
Gisborne,0,1,64
Gladstone Park - Westmeadows,0,1,64
Glen Iris - East,0,1,64
Glenroy,0,1,64
Glen Waverley - East,0,1,64
Glen Waverley - West,0,1,64
Gowanbrae,0,1,64
Greensborough,0,1,64
Greenvale - Bulla,0,1,64
Hadfield,0,1,64
Hallam,0,1,64
Hampton,0,1,64
Hampton Park - Lynbrook,0,1,64
Hastings - Somers,0,1,64
Hawthorn,0,1,64
Hawthorn East,0,1,64
Healesville - Yarra Glen,0,1,64
Heidelberg - Rosanna,0,1,64
Heidelberg West,0,1,64
Hillside,0,1,64
Hoppers Crossing - North,0,1,64
Hoppers Crossing - South,0,1,64
Hughesdale,0,1,64
Hurstbridge,0,1,64
Ivanhoe,0,1,64
Ivanhoe East - Eaglemont,0,1,64
Keilor,0,1,64
Keilor Downs,0,1,64
Keilor East,0,1,64
Kensington (Vic.),0,1,64
Kew,0,1,64
Kew East,0,1,64
Keysborough,0,1,64
Kilsyth,0,1,64
Kinglake,0,1,64
Kingsbury,0,1,64
Kings Park (Vic.),0,1,64
Knoxfield - Scoresby,0,1,64
Koo Wee Rup,0,1,64
Lalor,0,1,64
Langwarrin,0,1,64
Laverton,0,1,64
Lilydale - Coldstream,0,1,64
Lynbrook - Lyndhurst,0,1,64
