SA2,FT statistic,FT p-value,FT degrees of freedom
Abbotsford,5297.10385140215,0,6
Airport West,3079.64561904823,0,6
Albert Park,6196.54814601028,0,6
Alphington - Fairfield,3262.75883410795,0,6
Altona,6465.29456182765,0,6
Altona Meadows,10772.7710011498,0,6
Altona North,4853.45521189519,0,6
Ardeer - Albion,3051.97292900937,0,6
Armadale,2527.63468308232,0,6
Ascot Vale,5729.77058622973,0,6
Ashburton (Vic.),4813.99982568559,0,6
Ashwood - Chadstone,5672.09642786528,0,6
Aspendale Gardens - Waterways,6667.99650773262,0,6
Bacchus Marsh,11133.5591190819,0,6
Balwyn,7057.00723121118,0,6
Balwyn North,11699.2938811464,0,6
Bayswater,5216.89491179329,0,6
Bayswater North,6672.75914984181,0,6
Beaconsfield - Officer,8356.63409082347,0,6
Beaumaris,10098.1643721826,0,6
Belgrave - Selby,7522.98725355652,0,6
Bentleigh East (North),8463.00777008756,0,6
Bentleigh East (South),7484.40974201012,0,6
Bentleigh - McKinnon,12195.8976168876,0,6
Berwick - North,11220.1420903914,0,6
Berwick - South,19348.9850799378,0,6
Blackburn,9042.9386181699,0,6
Blackburn South,4809.36462009057,0,6
Boronia,9923.21268786312,0,6
Box Hill,4187.21627864979,0,6
Box Hill North,6950.35961857533,0,6
Braeside,68.8081641154692,7.17662131213551e-13,6
Braybrook,6560.61105997982,0,6
Brighton East,10601.4505381116,0,6
Brighton (Vic.),13117.5715475519,0,6
Broadmeadows,4532.26374569477,0,6
Brunswick,10158.0175168092,0,6
Brunswick East,4809.23725747801,0,6
Brunswick West,3918.98208854542,0,6
Bulleen,5138.8967184513,0,6
Bundoora - East,3376.12960817589,0,6
Bundoora - North,1781.01447314258,0,6
Bundoora - West,1779.16775651406,0,6
Bunyip - Garfield,5671.63813035157,0,6
Burnside,2559.8643708222,0,6
Burnside Heights,4611.5777201954,0,6
Burwood,1020.12601185308,3.9661730599693e-217,6
Burwood East,3397.69357159325,0,6
Cairnlea,6845.22754097154,0,6
Camberwell,9711.86147705952,0,6
Campbellfield - Coolaroo,6438.40136959275,0,6
Carlton,11086.29215244,0,6
Carlton North - Princes Hill,2027.30696799235,0,6
Carnegie,5014.56093689101,0,6
Caroline Springs,14563.2553057025,0,6
Carrum Downs,10375.2866002748,0,6
Carrum - Patterson Lakes,6425.14856217486,0,6
Caulfield - North,5646.56599485357,0,6
Caulfield - South,7893.62791035997,0,6
Chelsea - Bonbeach,6875.05158495344,0,6
Chelsea Heights,3544.72711841901,0,6
Cheltenham - Highett (East),10115.2884450504,0,6
Cheltenham - Highett (West),6081.7021799177,0,6
Chirnside Park,5320.03449739138,0,6
Clarinda - Oakleigh South,6538.37569684358,0,6
Clayton,5777.92613602789,0,6
Clayton South,4335.82320680486,0,6
Coburg,8843.70016087115,0,6
Coburg North,2973.28985603526,0,6
Collingwood,4965.8814770766,0,6
Craigieburn - Central,5025.17568396916,0,6
Craigieburn - North,8296.06120402051,0,6
Craigieburn - South,10540.6411993049,0,6
Craigieburn - West,9085.28376629931,0,6
Cranbourne,9954.65354411331,0,6
Cranbourne East,14401.6979695041,0,6
Cranbourne North,12551.187172101,0,6
Cranbourne South,5342.26312390936,0,6
Cranbourne West,10137.5648875713,0,6
Croydon - East,6380.01787803523,0,6
Croydon Hills - Warranwood,12324.5597766004,0,6
Croydon South,2512.27959593618,0,6
Croydon - West,5521.96648532782,0,6
Dandenong,10504.689987581,0,6
Dandenong North,10601.8179445755,0,6
Deer Park - Derrimut,14606.5496886705,0,6
Delahey,5414.23020934305,0,6
Dingley Village,6280.32261599592,0,6
Docklands,7510.51828927937,0,6
Doncaster,8013.08957273166,0,6
Doncaster East (North),8878.12045112375,0,6
Doncaster East (South),5950.76527798469,0,6
Donvale - Park Orchards,10350.1780421798,0,6
Doreen,15480.825967127,0,6
Doveton,4142.5790407294,0,6
Dromana,6197.08322483905,0,6
East Melbourne,2115.3949677466,0,6
Edithvale - Aspendale,7036.81672389652,0,6
Elsternwick,4713.3312786719,0,6
Eltham,18293.4608690114,0,6
Elwood,7392.85543618429,0,6
Emerald - Cockatoo,13086.089144421,0,6
Endeavour Hills - North,7171.59679791137,0,6
Endeavour Hills - South,8528.85425505715,0,6
Epping - East,7448.8794303342,0,6
Epping - South,4480.52517077929,0,6
Epping - West,7540.74451629903,0,6
Essendon - Aberfeldie,10932.1668148093,0,6
Fawkner,4070.44806748575,0,6
Ferntree Gully (North),6792.82902716892,0,6
Ferntree Gully (South) - Upper Ferntree Gully,8676.62643393587,0,6
Fitzroy,4110.60304709316,0,6
Fitzroy North,4280.32784433931,0,6
Flemington,2959.77304762456,0,6
Flemington Racecourse,61.0995023989073,2.69035506487246e-11,6
Flinders,4640.33805572794,0,6
Footscray,7231.32330245012,0,6
Forest Hill,4546.22372982164,0,6
Frankston,7972.99205889436,0,6
Frankston North,7410.9375207021,0,6
Frankston South,10706.9858113078,0,6
Gisborne,8932.4851975651,0,6
Gladstone Park - Westmeadows,9788.55182818662,0,6
Glen Iris - East,9963.28421357312,0,6
Glenroy,7582.10627001082,0,6
Glen Waverley - East,10611.5897595589,0,6
Glen Waverley - West,8163.61218111499,0,6
Gowanbrae,1793.97608170494,0,6
Greensborough,11627.1486765865,0,6
Greenvale - Bulla,11405.8041351778,0,6
Hadfield,1789.87021476859,0,6
Hallam,5465.20191674202,0,6
Hampton,11086.2544880973,0,6
Hampton Park - Lynbrook,14708.5408401371,0,6
Hastings - Somers,11258.3378859394,0,6
Hawthorn,5286.75722243321,0,6
Hawthorn East,3803.58956224312,0,6
Healesville - Yarra Glen,8248.36358319627,0,6
Heidelberg - Rosanna,6104.32845533142,0,6
Heidelberg West,5037.54384719291,0,6
Hillside,14477.5747984597,0,6
Hoppers Crossing - North,11925.9062341596,0,6
Hoppers Crossing - South,10153.5816372971,0,6
Hughesdale,2920.61462832253,0,6
Hurstbridge,2488.5729489723,0,6
Ivanhoe,5353.36722257695,0,6
Ivanhoe East - Eaglemont,4894.86935412637,0,6
Keilor,4816.84657579595,0,6
Keilor Downs,7860.4079677252,0,6
Keilor East,13737.1527186854,0,6
Kensington (Vic.),5181.69075421625,0,6
Kew,8512.0301102008,0,6
Kew East,3369.65848452146,0,6
Keysborough,14593.570300261,0,6
Kilsyth,3775.54440422097,0,6
Kinglake,3099.18958151121,0,6
Kingsbury,2104.21991374065,0,6
Kings Park (Vic.),8305.06426868183,0,6
Knoxfield - Scoresby,8943.85866073256,0,6
Koo Wee Rup,4260.08553554627,0,6
Lalor,10043.3470162802,0,6
Langwarrin,13854.0741144567,0,6
Laverton,4832.05244418191,0,6
Lilydale - Coldstream,9708.53314016104,0,6
Lynbrook - Lyndhurst,10650.0502383194,0,6
Lysterfield,5912.30281216474,0,6
Macedon,3164.31886812887,0,6
Malvern East,6159.85102196101,0,6
Malvern - Glen Iris,6515.87479136132,0,6
Maribyrnong,4485.47323665759,0,6
Meadow Heights,8850.59325892243,0,6
Melbourne,48554.3662115787,0,6
Melbourne Airport,15.723068421274,0.0153201325411199,6
Melton,9931.15033540984,0,6
Melton South,12985.3686102941,0,6
Melton West,10477.4004581237,0,6
Mentone,5762.90284962766,0,6
Mernda,10906.0993087611,0,6
Mickleham - Yuroke,2092.17991956772,0,6
Mill Park - North,11911.1822043366,0,6
Mill Park - South,7143.60851647383,0,6
Mitcham (Vic.),7813.51035964699,0,6
Monbulk - Silvan,3843.63835652837,0,6
Montmorency - Briar Hill,8897.43705734841,0,6
Montrose,3797.67567091918,0,6
Moonee Ponds,5151.34242855511,0,6
Moorabbin - Heatherton,4434.32473913708,0,6
Mooroolbark,11686.147170863,0,6
Mordialloc - Parkdale,11309.6909716022,0,6
Mornington,10996.7006127304,0,6
Mount Dandenong - Olinda,7731.06109519947,0,6
Mount Eliza,14068.0546952123,0,6
Mount Evelyn,5872.63386950171,0,6
Mount Martha,13023.1114090393,0,6
Mount Waverley - North,6593.3271413603,0,6
Mount Waverley - South,7716.7669339934,0,6
Mulgrave,9577.02184856601,0,6
Murrumbeena,3465.4356333947,0,6
Narre Warren North,5585.7446781893,0,6
Narre Warren - North East,8032.01137025207,0,6
Narre Warren South (East),10156.6415156822,0,6
Narre Warren - South West,7199.15576540417,0,6
Narre Warren South (West),11297.7136675142,0,6
Newport,10581.4933604769,0,6
Niddrie - Essendon West,3404.07010800481,0,6
Noble Park - East,5188.80678054918,0,6
Noble Park North,3713.92990212422,0,6
Noble Park - West,7911.90659033587,0,6
Northcote,9539.06577687609,0,6
North Melbourne,8177.16320617615,0,6
Nunawading,5040.80022515963,0,6
Oakleigh - Huntingdale,6562.28607765035,0,6
Ormond - Glen Huntly,4682.61154579284,0,6
Pakenham - North,8363.46834332335,0,6
Pakenham - South,14249.134698164,0,6
Panton Hill - St Andrews,3896.73548165977,0,6
Parkville,1797.44226151705,0,6
Pascoe Vale,9047.85682634121,0,6
Pascoe Vale South,4963.46072922577,0,6
Pearcedale - Tooradin,5295.13715990501,0,6
Plenty - Yarrambat,6811.91978089918,0,6
Point Cook - East,9757.75742122873,0,6
Point Cook - North,17328.0397064703,0,6
Point Cook - South,12274.746558037,0,6
Point Nepean,10000.708526585,0,6
Port Melbourne,8814.87122850786,0,6
Port Melbourne Industrial,20,0.00276939571551158,6
Prahran - Windsor,9278.93854299614,0,6
Preston - East,6812.91429572494,0,6
Preston - West,5202.25794316894,0,6
Research - North Warrandyte,5438.90003605664,0,6
Reservoir - East,8560.49478689551,0,6
Reservoir - West,8823.40655789354,0,6
Richmond (Vic.),15526.5019235618,0,6
Riddells Creek,3274.33873885904,0,6
Ringwood,7117.62880988412,0,6
Ringwood East,9690.34958782482,0,6
Ringwood North,6020.88119001433,0,6
Rockbank - Mount Cottrell,1295.63272941626,9.55305212057097e-277,6
Romsey,6872.2175049337,0,6
Rosebud - McCrae,8519.72881127215,0,6
Rowville - Central,9299.64864436189,0,6
Rowville - North,5475.98135853921,0,6
Rowville - South,7934.09793853148,0,6
Roxburgh Park - Somerton,14435.3409864012,0,6
Sandringham - Black Rock,10410.6714622076,0,6
Seabrook,3465.47996923004,0,6
Seaford (Vic.),7824.21839434014,0,6
Seddon - Kingsville,4838.69809589229,0,6
Skye - Sandhurst,9600.62886746468,0,6
Somerville,10155.0224282331,0,6
Southbank,15074.0766518364,0,6
South Melbourne,4683.18224739702,0,6
South Morang (North),9169.68575749687,0,6
South Morang (South),7470.81003526212,0,6
South Yarra - East,9539.91615125289,0,6
South Yarra - West,1845.26188316428,0,6
Springvale,6650.40317384877,0,6
Springvale South,6431.20290627811,0,6
St Albans - North,7448.31763690833,0,6
St Albans - South,6657.63031284565,0,6
St Kilda,13476.4225122991,0,6
St Kilda East,7467.61362709693,0,6
Strathmore,5400.73923217911,0,6
Sunbury,8289.79825302445,0,6
Sunbury - South,13281.6385681821,0,6
Sunshine,3343.36893921821,0,6
Sunshine North,4597.80772443727,0,6
Sunshine West,7850.72809222923,0,6
Surrey Hills (East) - Mont Albert,4602.94743173586,0,6
Surrey Hills (West) - Canterbury,9283.85449793067,0,6
Sydenham,7542.14008741504,0,6
Tarneit,22902.555192991,0,6
Taylors Hill,13821.7456560791,0,6
Taylors Lakes,13117.5496347622,0,6
Templestowe,10289.0960431916,0,6
Templestowe Lower,7710.43409613389,0,6
The Basin,2969.82648558015,0,6
Thomastown,9006.00938865728,0,6
Thornbury,6756.25284372437,0,6
Toorak,3908.91855847089,0,6
Truganina,16917.1778567288,0,6
Tullamarine,2652.70196847208,0,6
Upwey - Tecoma,7075.19965234511,0,6
Vermont,6122.0136295054,0,6
Vermont South,7214.24247148651,0,6
Viewbank - Yallambie,9753.13090093842,0,6
Wallan,10466.1276972232,0,6
Wandin - Seville,4548.12545248122,0,6
Wantirna,8298.09320636937,0,6
Wantirna South,9453.22867181918,0,6
Warrandyte - Wonga Park,8422.01414467418,0,6
Watsonia,4373.48535214518,0,6
Wattle Glen - Diamond Creek,10013.8325487715,0,6
Werribee - East,9586.65383571964,0,6
Werribee - South,4989.34845270251,0,6
Werribee - West,7165.13902819775,0,6
West Footscray - Tottenham,4988.22917418821,0,6
Wheelers Hill,12022.4587609256,0,6
Whittlesea,4874.08024305194,0,6
Williamstown,10063.6242284396,0,6
Wollert,6291.19953764126,0,6
