"SA2","p-value
mu= 2","Equivalent
alpha=0.05
confidence=90%"
"Abbotsford","0.8125","0"
"Airport West","0.56723283742192","0"
"Albert Park","0.59375","0"
"Alphington - Fairfield","0.765625","0"
"Altona","0.65625","0"
"Altona Meadows","0.65625","0"
"Altona North","0.7109375","0"
"Ardeer - Albion","0.59375","0"
"Armadale","0.7109375","0"
"Ascot Vale","0.65625","0"
"Ashburton (Vic.)","0.7109375","0"
"Ashwood - Chadstone","0.65625","0"
"Aspendale Gardens - Waterways","0.765625","0"
"Bacchus Marsh","0.65625","0"
"Balwyn","0.765625","0"
"Balwyn North","0.765625","0"
"Bayswater","0.59375","0"
"Bayswater North","0.7109375","0"
"Beaconsfield - Officer","0.7109375","0"
"Beaumaris","0.65625","0"
"Belgrave - Selby","0.7109375","0"
"Bentleigh East (North)","0.7109375","0"
"Bentleigh East (South)","0.765625","0"
"Bentleigh - McKinnon","0.7109375","0"
"Berwick - North","0.765625","0"
"Berwick - South","0.7109375","0"
"Blackburn","0.765625","0"
"Blackburn South","0.765625","0"
"Boronia","0.65625","0"
"Box Hill","0.765625","0"
"Box Hill North","0.7109375","0"
"Braeside","0.299080726341764","0"
"Braybrook","0.7109375","0"
"Brighton East","0.7109375","0"
"Brighton (Vic.)","0.65625","0"
"Broadmeadows","0.765625","0"
"Brunswick","0.8515625","0"
"Brunswick East","0.7109375","0"
"Brunswick West","0.7109375","0"
"Bulleen","0.765625","0"
"Bundoora - East","0.765625","0"
"Bundoora - North","0.765625","0"
"Bundoora - West","0.8515625","0"
"Bunyip - Garfield","0.765625","0"
"Burnside","0.65625","0"
"Burnside Heights","0.65625","0"
"Burwood","0.9453125","0"
"Burwood East","0.8515625","0"
"Cairnlea","0.7109375","0"
"Camberwell","0.765625","0"
"Campbellfield - Coolaroo","0.65625","0"
"Carlton","0.59375","0"
"Carlton North - Princes Hill","0.8515625","0"
"Carnegie","0.65625","0"
"Caroline Springs","0.765625","0"
"Carrum Downs","0.7109375","0"
"Carrum - Patterson Lakes","0.65625","0"
"Caulfield - North","0.765625","0"
"Caulfield - South","0.7109375","0"
"Chelsea - Bonbeach","0.65625","0"
"Chelsea Heights","0.7109375","0"
"Cheltenham - Highett (East)","0.65625","0"
"Cheltenham - Highett (West)","0.7109375","0"
"Chirnside Park","0.7109375","0"
"Clarinda - Oakleigh South","0.8125","0"
"Clayton","0.8125","0"
"Clayton South","0.765625","0"
"Coburg","0.7109375","0"
"Coburg North","0.65625","0"
"Collingwood","0.765625","0"
"Craigieburn - Central","0.7109375","0"
"Craigieburn - North","0.59375","0"
"Craigieburn - South","0.7109375","0"
"Craigieburn - West","0.65625","0"
"Cranbourne","0.723298071576409","0"
"Cranbourne East","0.65625","0"
"Cranbourne North","0.7109375","0"
"Cranbourne South","0.7109375","0"
"Cranbourne West","0.59375","0"
"Croydon - East","0.59375","0"
"Croydon Hills - Warranwood","0.765625","0"
"Croydon South","0.663974115670405","0"
"Croydon - West","0.65625","0"
"Dandenong","0.59375","0"
"Dandenong North","0.7109375","0"
"Deer Park - Derrimut","0.7109375","0"
"Delahey","0.7109375","0"
"Dingley Village","0.765625","0"
"Docklands","0.8515625","0"
"Doncaster","0.8515625","0"
"Doncaster East (North)","0.765625","0"
"Doncaster East (South)","0.7109375","0"
"Donvale - Park Orchards","0.765625","0"
"Doreen","0.53125","0"
"Doveton","0.8125","0"
"Dromana","0.765625","0"
"East Melbourne","0.7109375","0"
