SA2,FT statistic,FT p-value,FT degrees of freedom
Abbotsford,2.9717364125824,1,115
Airport West,10.581402481596,1,115
Albert Park,6.00788363142464,1,115
Alphington - Fairfield,6.04731952723369,1,115
Altona,7.85614603571404,1,115
Altona Meadows,9.484733341106,1,115
Altona North,7.81846827065065,1,115
Ardeer - Albion,5.72955908016942,1,115
Armadale,6.44903011131396,1,115
Ascot Vale,6.3624134100527,1,115
Ashburton (Vic.),16.3791189493857,1,115
Ashwood - Chadstone,8.71547063926059,1,115
Aspendale Gardens - Waterways,14.4338838826291,1,115
Bacchus Marsh,10.2019628073597,1,115
Balwyn,13.9024392199078,1,115
Balwyn North,16.3708725395864,1,115
Bayswater,9.53032323906843,1,115
Bayswater North,11.9754909568479,1,115
Beaconsfield - Officer,10.4634858452271,1,115
Beaumaris,15.4606735454901,1,115
Belgrave - Selby,12.2669713806477,1,115
Bentleigh - McKinnon,12.7220145759706,1,115
Bentleigh East (North),13.0519620468178,1,115
Bentleigh East (South),12.023878780967,1,115
Berwick - North,12.2711434299956,1,115
Berwick - South,10.4307668727107,1,115
Blackburn,12.0435439174244,1,115
Blackburn South,13.8046212790822,1,115
Boronia,9.23144933427303,1,115
Box Hill,7.65639328123052,1,115
Box Hill North,10.9048166322486,1,115
Braeside,268.887365191403,2.39018886562476e-14,115
Braybrook,5.42094554779544,1,115
Brighton (Vic.),13.4223230920212,1,115
Brighton East,16.3143301950554,1,115
Broadmeadows,7.49461524479503,1,115
Brunswick,2.7843618575136,1,115
Brunswick East,2.61041713438574,1,115
Brunswick West,4.67295383512308,1,115
Bulleen,11.616999019126,1,115
Bundoora - East,10.1496699529541,1,115
Bundoora - North,10.4400390217985,1,115
Bundoora - West,10.3860611074492,1,115
Bunyip - Garfield,10.8548563463316,1,115
Burnside,16.1808878607213,1,115
Burnside Heights,5.37617470619657,1,115
Burwood,7.33143305505606,1,115
Burwood East,12.3530802534314,1,115
Cairnlea,6.08532909598673,1,115
Camberwell,16.1343791928425,1,115
Campbellfield - Coolaroo,8.59135021691347,1,115
Carlton,2.0281507840574,1,115
Carlton North - Princes Hill,5.66496887348511,1,115
Carnegie,6.41831137652932,1,115
Caroline Springs,8.00242570518599,1,115
Carrum - Patterson Lakes,10.9804001135468,1,115
Carrum Downs,7.43895112229148,1,115
Caulfield - North,9.03828952768291,1,115
Caulfield - South,11.7993702875829,1,115
Chelsea - Bonbeach,7.76479205315334,1,115
Chelsea Heights,12.4747764393853,1,115
Cheltenham - Highett (East),10.0643484654067,1,115
Cheltenham - Highett (West),10.5891577030196,1,115
Chirnside Park,12.3472772651275,1,115
Clarinda - Oakleigh South,13.7010680125085,1,115
Clayton,6.87035062849804,1,115
Clayton South,8.00377375552324,1,115
Coburg,6.74674349273951,1,115
Coburg North,8.65442176120009,1,115
Collingwood,1.72933475985018,1,115
Craigieburn - Central,8.55268006441948,1,115
Craigieburn - North,4.57336594162706,1,115
Craigieburn - South,4.95687530716882,1,115
Craigieburn - West,5.73105597239937,1,115
Cranbourne,9.82671944227423,1,115
Cranbourne East,7.29184053358165,1,115
Cranbourne North,6.95227182646125,1,115
Cranbourne South,12.3448253812726,1,115
Cranbourne West,5.56058395602718,1,115
Croydon - East,7.76369491552293,1,115
Croydon - West,10.4891323119147,1,115
Croydon Hills - Warranwood,14.6769618354449,1,115
Croydon South,11.7344543428104,1,115
Dandenong,6.37245098742531,1,115
Dandenong North,10.7762958388933,1,115
Deer Park - Derrimut,8.81509213947221,1,115
Delahey,8.89125707443107,1,115
Dingley Village,15.5824349703389,1,115
Docklands,1.63159195407743,1,115
Doncaster,10.6550248340918,1,115
Doncaster East (North),16.0271603749562,1,115
Doncaster East (South),12.6483248347027,1,115
Donvale - Park Orchards,16.9369463724447,1,115
Doreen,9.25856419222359,1,115
Doveton,7.03030549552504,1,115
Dromana,8.96047433955921,1,115
East Melbourne,7.1801591863974,1,115
Edithvale - Aspendale,10.627681062611,1,115
Elsternwick,8.19016261207569,1,115
Eltham,14.8726777767205,1,115
Elwood,3.25364316943796,1,115
Emerald - Cockatoo,13.300063742901,1,115
Endeavour Hills - North,12.4056507691209,1,115
Endeavour Hills - South,10.5551955738947,1,115
Epping - East,12.4595954142536,1,115
Epping - South,10.4550842108304,1,115
Epping - West,4.61903508094828,1,115
Essendon - Aberfeldie,7.41199698171724,1,115
Fawkner,10.0683755829818,1,115
Ferntree Gully (North),10.1826010073175,1,115
Ferntree Gully (South) - Upper Ferntree Gully,10.6708907979363,1,115
Fitzroy,2.96435471833651,1,115
Fitzroy North,5.06409450127827,1,115
Flemington,4.28822678343851,1,115
Flemington Racecourse,135.551188271787,0.0925467532591221,115
Flinders,14.0945963586992,1,115
Footscray,4.13160442982076,1,115
Forest Hill,11.7992206762303,1,115
Frankston,7.90159827555762,1,115
Frankston North,7.044157811439,1,115
Frankston South,12.8690994383118,1,115
Gisborne,15.2047901519511,1,115
Gladstone Park - Westmeadows,10.7847416245184,1,115
Glen Iris - East,14.9771661245935,1,115
Glen Waverley - East,14.7079325344058,1,115
Glen Waverley - West,12.9992867956019,1,115
Glenroy,6.78570541452459,1,115
Gowanbrae,15.3814180170952,1,115
Greensborough,12.1854722846461,1,115
Greenvale - Bulla,10.8287553460018,1,115
Hadfield,8.64756610523787,1,115
Hallam,12.2903726172856,1,115
Hampton,12.8429090740414,1,115
Hampton Park - Lynbrook,8.16635501586243,1,115
Hastings - Somers,9.95052147130709,1,115
Hawthorn,4.79291994538796,1,115
Hawthorn East,6.66542571904932,1,115
Healesville - Yarra Glen,11.1486919751221,1,115
Heidelberg - Rosanna,10.8264541724504,1,115
Heidelberg West,6.62102618734926,1,115
Hillside,6.23493964922355,1,115
Hoppers Crossing - North,8.95473272514306,1,115
Hoppers Crossing - South,9.76315976332012,1,115
Hughesdale,7.83732767040782,1,115
Hurstbridge,14.8889265356877,1,115
Ivanhoe,10.6232111354916,1,115
Ivanhoe East - Eaglemont,17.1472723885053,1,115
Keilor,12.468311576564,1,115
Keilor Downs,11.8215281512573,1,115
Keilor East,12.0360428708171,1,115
Kensington (Vic.),4.19406390683398,1,115
Kew,11.2763679970033,1,115
Kew East,14.5461033465837,1,115
Keysborough,10.9974433298101,1,115
Kilsyth,11.9951671746526,1,115
Kinglake,11.7739799812861,1,115
Kings Park (Vic.),8.68891566198423,1,115
Kingsbury,10.7365072650029,1,115
Knoxfield - Scoresby,12.4808358100993,1,115
Koo Wee Rup,11.4842768529935,1,115
Lalor,10.0197612372501,1,115
Langwarrin,10.2696925863593,1,115
Laverton,5.88786283530815,1,115
Lilydale - Coldstream,11.221990793591,1,115
Lynbrook - Lyndhurst,8.41765232276026,1,115
Lysterfield,12.6214337437193,1,115
Macedon,15.7110115635281,1,115
Malvern - Glen Iris,9.60365720523058,1,115
Malvern East,10.6582919165143,1,115
Maribyrnong,6.68206352265008,1,115
Meadow Heights,7.38619462511661,1,115
Melbourne,1.07864869161655,1,115
Melbourne Airport,215.392305628941,4.29501268971654e-08,115
Melton,9.31931741037524,1,115
Melton South,8.93361370652147,1,115
Melton West,8.3557207920046,1,115
Mentone,9.01031540355467,1,115
Mernda,6.19742913402632,1,115
Mickleham - Yuroke,9.89037940580015,1,115
Mill Park - North,11.0441466320964,1,115
Mill Park - South,9.50293814855111,1,115
Mitcham (Vic.),9.41521428188586,1,115
Monbulk - Silvan,10.7198955013709,1,115
Montmorency - Briar Hill,10.4901337836063,1,115
Montrose,15.5723801948171,1,115
Moonee Ponds,6.71893627163588,1,115
Moorabbin - Heatherton,12.1014173508528,1,115
Mooroolbark,10.0115818269326,1,115
Mordialloc - Parkdale,11.3979829186144,1,115
Mornington,9.53741432582354,1,115
Mount Dandenong - Olinda,12.5174602384889,1,115
Mount Eliza,15.4422668150023,1,115
Mount Evelyn,10.9767328450567,1,115
Mount Martha,14.5675538324339,1,115
Mount Waverley - North,12.5000576940671,1,115
Mount Waverley - South,12.0452022264131,1,115
Mulgrave,12.9555697047403,1,115
Murrumbeena,7.73637259241038,1,115
Narre Warren - North East,10.0284413385163,1,115
Narre Warren - South West,8.77855967691506,1,115
Narre Warren North,16.6156543488668,1,115
Narre Warren South (East),11.8868321260224,1,115
Narre Warren South (West),7.21515165051084,1,115
Newport,7.51574933591172,1,115
Niddrie - Essendon West,11.9182947729194,1,115
Noble Park - East,5.55859473190067,1,115
Noble Park - West,8.71063175914995,1,115
Noble Park North,11.8074814380974,1,115
North Melbourne,2.01587848363108,1,115
Northcote,6.57425208106468,1,115
Nunawading,10.2563713589294,1,115
Oakleigh - Huntingdale,8.53866543386223,1,115
Ormond - Glen Huntly,7.38583533311527,1,115
Pakenham - North,8.04248625278609,1,115
Pakenham - South,8.33448112406239,1,115
Panton Hill - St Andrews,17.6194563053466,1,115
Parkville,27.0398875616945,1,115
Pascoe Vale,6.55074119541833,1,115
Pascoe Vale South,11.4261290490163,1,115
Pearcedale - Tooradin,11.4071608701124,1,115
Plenty - Yarrambat,16.3768527202626,1,115
Point Cook - East,8.45932047089232,1,115
Point Cook - North,10.0216591580991,1,115
Point Cook - South,4.47793240169007,1,115
Point Nepean,8.13402175240096,1,115
Port Melbourne,4.80774265506895,1,115
0,0,0,0
Prahran - Windsor,2.53888167526063,1,115
Preston - East,5.04570844381541,1,115
Preston - West,7.29269430258418,1,115
Research - North Warrandyte,16.1381846676389,1,115
Reservoir - East,6.89461924221917,1,115
Reservoir - West,7.47415786462075,1,115
Richmond (Vic.),2.39905502713755,1,115
Riddells Creek,15.7321908975779,1,115
Ringwood,8.08432168671706,1,115
Ringwood East,10.5221363363237,1,115
Ringwood North,16.166260081016,1,115
Rockbank - Mount Cottrell,24.6891392487363,1,115
Romsey,11.2767179137298,1,115
Rosebud - McCrae,7.82588084985613,1,115
Rowville - Central,11.2082832892088,1,115
Rowville - North,12.2006806936566,1,115
Rowville - South,13.7711094523034,1,115
Roxburgh Park - Somerton,7.38088686721581,1,115
Sandringham - Black Rock,14.4239821094174,1,115
Seabrook,12.9916065580678,1,115
Seaford (Vic.),6.76568459298608,1,115
Seddon - Kingsville,6.87029404618717,1,115
Skye - Sandhurst,9.98166510928978,1,115
Somerville,11.3865374188035,1,115
South Melbourne,5.21113010356716,1,115
South Morang (North),7.64865839782593,1,115
South Morang (South),15.8444549151328,1,115
South Yarra - East,1.78134848032074,1,115
South Yarra - West,4.81494495596472,1,115
Southbank,1.32075287101381,1,115
Springvale,8.03842579907211,1,115
Springvale South,9.95194886674745,1,115
St Albans - North,8.59272894612085,1,115
St Albans - South,8.57373382284872,1,115
St Kilda,1.83302040996787,1,115
St Kilda East,3.13429380941342,1,115
Strathmore,14.5290028352919,1,115
Sunbury,11.8621989174991,1,115
Sunbury - South,9.21263785771531,1,115
Sunshine,6.39842162779965,1,115
Sunshine North,8.8264777730769,1,115
Sunshine West,8.23644363738654,1,115
Surrey Hills (East) - Mont Albert,13.4690019038878,1,115
Surrey Hills (West) - Canterbury,16.8580800956516,1,115
Sydenham,11.4908509817322,1,115
Tarneit,5.34908984474869,1,115
Taylors Hill,8.14060049278502,1,115
Taylors Lakes,13.246495131897,1,115
Templestowe,17.346972651271,1,115
Templestowe Lower,17.4293991501944,1,115
The Basin,14.1972603001803,1,115
Thomastown,10.6573566395801,1,115
Thornbury,5.82963361522175,1,115
Toorak,6.98299470151049,1,115
Truganina,4.26881348442691,1,115
Tullamarine,6.70478747348426,1,115
Upwey - Tecoma,10.1384242766048,1,115
Vermont,14.1078499921345,1,115
Vermont South,18.3105579271174,1,115
Viewbank - Yallambie,11.5103507999928,1,115
Wallan,10.5310589783616,1,115
Wandin - Seville,11.6424202553533,1,115
Wantirna,12.5272358193154,1,115
Wantirna South,13.8502176229843,1,115
Warrandyte - Wonga Park,17.2530479589004,1,115
Watsonia,10.7998341615223,1,115
Wattle Glen - Diamond Creek,12.0570511139926,1,115
Werribee - East,9.92616784926513,1,115
Werribee - South,11.8334317313534,1,115
Werribee - West,8.85998365465109,1,115
West Footscray - Tottenham,5.0463353169835,1,115
Wheelers Hill,14.5515393479244,1,115
Whittlesea,11.914654411558,1,115
Williamstown,12.8261829714494,1,115
Wollert,5.00741598966027,1,115
Wyndham Vale,6.88555306304118,1,115
Yarra - North,6.37755360507382,1,115
Yarra Valley,9.66050087182166,1,115
Yarraville,7.41858290281808,1,115
