SA2,FT statistic,FT p-value,FT degrees of freedom
Abbotsford,12.4427858077564,1,NA
Airport West,10.2366706882734,1,NA
Albert Park,12.2634275263624,1,NA
Alphington - Fairfield,8.75193291922013,1,NA
Altona,22.4607981775572,1,NA
Altona Meadows,42.0183269142198,1,NA
Altona North,8.39294547639659,1,NA
Ardeer - Albion,16.7208144358451,1,NA
Armadale,8.85220372779083,1,NA
Ascot Vale,15.4989334681342,1,NA
Ashburton (Vic.),9.45929629208352,1,NA
Ashwood - Chadstone,37.3309258557507,1,NA
Aspendale Gardens - Waterways,9.04205759843503,1,NA
Bacchus Marsh,32.9146098216105,1,NA
Balwyn,35.6600963436112,1,NA
Balwyn North,30.7779013392198,1,NA
Bayswater,30.1644713834327,1,NA
Bayswater North,23.6951965197823,1,NA
Beaconsfield - Officer,15.181923338814,1,NA
Beaumaris,19.9683644251476,1,NA
Belgrave - Selby,24.3161370175318,1,NA
Bentleigh - McKinnon,46.153965623885,0.997002997002997,NA
Bentleigh East (North),22.1048453758117,1,NA
Bentleigh East (South),15.2162174293921,1,NA
Berwick - North,30.9638037487043,1,NA
Berwick - South,39.4991904333027,1,NA
Blackburn,36.5297285050047,1,NA
Blackburn South,16.251554994864,1,NA
Boronia,43.2541110514795,0.998001998001998,NA
Box Hill,52.8155756716935,0.939060939060939,NA
Box Hill North,34.3272030759835,1,NA
Braeside,11.9140248918567,0.110889110889111,NA
Braybrook,64.1125010904912,0.738261738261738,NA
Brighton (Vic.),29.7511727485861,1,NA
Brighton East,17.1738839617785,1,NA
Broadmeadows,21.7380196799719,1,NA
Brunswick,14.8861220204078,1,NA
Brunswick East,11.858248736335,1,NA
Brunswick West,14.1171452098328,1,NA
Bulleen,28.3785972651691,1,NA
Bundoora - East,14.9608663577953,1,NA
Bundoora - North,19.6844045985791,1,NA
Bundoora - West,15.0980422502899,1,NA
Bunyip - Garfield,13.7967913346184,1,NA
Burnside,5.05942836487263,1,NA
Burnside Heights,3.55116286272676,1,NA
