"SA2","p-value
mu= 2","Equivalent
alpha=0.05
confidence=90%"
"Abbotsford","6.41451883814494e-09","1"
"Airport West","0.0100320542605114","1"
"Albert Park","0.11119667548474","0"
"Alphington - Fairfield","0.0544261278026173","0"
"Altona","0.642551908159582","0"
"Altona Meadows","0.74120530035772","0"
"Altona North","0.366470246989599","0"
"Ardeer - Albion","0.0485794793244827","1"
"Armadale","0.000758710313750767","1"
"Ascot Vale","0.339092358640901","0"
"Ashburton (Vic.)","0.0265315723815574","1"
"Ashwood - Chadstone","0.79177812826803","0"
"Aspendale Gardens - Waterways","0.00745463256926436","1"
"Bacchus Marsh","0.947074893151408","0"
"Balwyn","0.664867839875027","0"
"Balwyn North","0.838278278967997","0"
"Bayswater","0.707086222057239","0"
"Bayswater North","0.016926213104449","1"
"Beaconsfield - Officer","0.16834524423394","0"
"Beaumaris","0.294198772302669","0"
"Belgrave - Selby","0.0153969241552139","1"
"Bentleigh East (North)","0.844488301140369","0"
"Bentleigh East (South)","0.301972888745354","0"
"Bentleigh - McKinnon","0.937034305933933","0"
"Berwick - North","0.960973645877271","0"
"Berwick - South","0.943722841089933","0"
"Blackburn","0.940477834104098","0"
"Blackburn South","0.464162324264905","0"
"Boronia","0.931940819504496","0"
"Box Hill","0.945970540508864","0"
"Box Hill North","0.957914400849995","0"
"Braeside","1.49069130003694e-20","1"
"Braybrook","0.649947717015094","0"
"Brighton East","0.229357132800429","0"
"Brighton (Vic.)","0.164793892666745","0"
"Broadmeadows","0.0557234480043266","0"
"Brunswick","0.149334691389898","0"
"Brunswick East","2.59593814853114e-07","1"
"Brunswick West","0.056104318879934","0"
"Bulleen","0.271278089661379","0"
"Bundoora - East","0.30519334192496","0"
"Bundoora - North","0.0935793421417091","0"
"Bundoora - West","0.164625820325802","0"
"Bunyip - Garfield","0.163342606442179","0"
"Burnside","2.9874420850115e-08","1"
"Burnside Heights","8.06835827147163e-07","1"
"Burwood","0.551906608536346","0"
"Burwood East","0.403457214114468","0"
"Cairnlea","0.175824446698936","0"
"Camberwell","0.536562445646384","0"
"Campbellfield - Coolaroo","0.173759425578513","0"
"Carlton","1.08387413778491e-10","1"
"Carlton North - Princes Hill","0.000268733689746212","1"
"Carnegie","0.406544451884919","0"
"Caroline Springs","0.349875547329897","0"
"Carrum Downs","0.379093455907056","0"
"Carrum - Patterson Lakes","0.247359131889521","0"
"Caulfield - North","0.657678102232066","0"
"Caulfield - South","0.746419977748221","0"
"Chelsea - Bonbeach","0.500860830933915","0"
"Chelsea Heights","0.0744883431250715","0"
"Cheltenham - Highett (East)","0.910152180229874","0"
"Cheltenham - Highett (West)","0.0588621548038668","0"
"Chirnside Park","0.344598988464039","0"
"Clarinda - Oakleigh South","0.737395453657328","0"
"Clayton","0.535248068813476","0"
"Clayton South","0.439313563404478","0"
"Coburg","0.940463619477916","0"
"Coburg North","0.0179926820995996","1"
"Collingwood","5.76422201735229e-15","1"
"Craigieburn - Central","6.29332800801409e-05","1"
"Craigieburn - North","0.0132963554033109","1"
"Craigieburn - South","0.000503172012525705","1"
"Craigieburn - West","0.00211062861873558","1"
"Cranbourne","0.52802307272758","0"
"Cranbourne East","0.731057431659962","0"
"Cranbourne North","0.177001259058957","0"
"Cranbourne South","0.470228101436628","0"
"Cranbourne West","0.0456555102478955","1"
"Croydon - East","0.180275791493452","0"
"Croydon Hills - Warranwood","0.282931500553652","0"
"Croydon South","0.000215176582916516","1"
"Croydon - West","0.0853579951276771","0"
"Dandenong","0.910383032254787","0"
"Dandenong North","0.979550912503402","0"
"Deer Park - Derrimut","0.470639727746388","0"
"Delahey","2.26345272900812e-05","1"
"Dingley Village","0.329707306154468","0"
"Docklands","6.17114270042255e-09","1"
"Doncaster","0.965941787147837","0"
"Doncaster East (North)","0.445474265844761","0"
"Doncaster East (South)","0.5270059600733","0"
"Donvale - Park Orchards","0.562196294510923","0"
"Doreen","0.586841160924806","0"
"Doveton","0.357666719376425","0"
"Dromana","0.293295736957349","0"
"East Melbourne","2.33416012100768e-10","1"
"Edithvale - Aspendale","0.227650272824792","0"
"Elsternwick","0.0141162801204343","1"
"Eltham","0.641473291380755","0"
"Elwood","0.000844260960767815","1"
"Emerald - Cockatoo","0.920229919764449","0"
"Endeavour Hills - North","0.114399957549388","0"
"Endeavour Hills - South","0.436843739403305","0"
"Epping - East","0.00630842001619616","1"
"Epping - South","0.00246772634393891","1"
"Epping - West","0.000407670341016275","1"
"Essendon - Aberfeldie","0.893944837567924","0"
"Fawkner","0.193169240019048","0"
"Ferntree Gully (North)","0.386796144093752","0"
"Ferntree Gully (South) - Upper Ferntree Gully","0.67400082794123","0"
"Fitzroy","2.30610854564364e-05","1"
"Fitzroy North","0.000916620670073974","1"
"Flemington","1.91082545031068e-07","1"
"Flemington Racecourse","1.38825749187708e-19","1"
"Flinders","0.0515345246019634","0"
"Footscray","0.0513864365804922","0"
"Forest Hill","0.334767696273189","0"
"Frankston","0.902216396243907","0"
"Frankston North","0.932538083940926","0"
"Frankston South","0.781185318820194","0"
"Gisborne","0.194686732379492","0"
"Gladstone Park - Westmeadows","0.474192146917408","0"
"Glen Iris - East","0.538277032655228","0"
"Glenroy","0.928620151805682","0"
"Glen Waverley - East","0.850626323460169","0"
"Glen Waverley - West","0.931280009820763","0"
"Gowanbrae","1.44522496257109e-14","1"
"Greensborough","0.505327471337017","0"
"Greenvale - Bulla","0.0910039759799456","0"
"Hadfield","0.00180787596908877","1"
"Hallam","0.288764123973755","0"
"Hampton","0.23298361659065","0"
"Hampton Park - Lynbrook","0.830287036250596","0"
"Hastings - Somers","0.836264394530604","0"
"Hawthorn","0.0325892724408684","1"
"Hawthorn East","0.0615993454616547","0"
"Healesville - Yarra Glen","0.683539643702713","0"
"Heidelberg - Rosanna","0.239062753844839","0"
"Heidelberg West","0.0694959760275939","0"
"Hillside","0.101272401082357","0"
"Hoppers Crossing - North","0.42089378620741","0"
"Hoppers Crossing - South","0.453099237744014","0"
