SA2;FT statistic;FT p-value;FT degrees of freedom
Abbotsford;0.0860834821559891;0.749250749250749;nan
Airport West;0.0196161837750786;0.896103896103896;nan
Albert Park;0.00181704385645204;0.966033966033966;nan
Alphington - Fairfield;0.00483817247354741;0.952047952047952;nan
Altona;0.0700352933052252;0.787212787212787;nan
Altona Meadows;0.0260138150403506;0.875124875124875;nan
Altona North;0.157363356109998;0.684315684315684;nan
Ardeer - Albion;0.0537910138985896;0.792207792207792;nan
Armadale;0.0656216935853071;0.806193806193806;nan
Ascot Vale;0.12498258245012;0.735264735264735;nan
Ashburton (Vic.);0.0173357784358836;0.912087912087912;nan
Ashwood - Chadstone;0.00331871304262205;0.958041958041958;nan
Aspendale Gardens - Waterways;0.0841911733896025;0.779220779220779;nan
Bacchus Marsh;0.0637575159618057;0.792207792207792;nan
Balwyn;0.00544221662579528;0.944055944055944;nan
Balwyn North;0.021411915994636;0.889110889110889;nan
Bayswater;0.187201204313186;0.669330669330669;nan
Bayswater North;0.0734900567134173;0.774225774225774;nan
Beaconsfield - Officer;0.380523527977017;0.55044955044955;nan
Beaumaris;0.0731830466611201;0.798201798201798;nan
Belgrave - Selby;0.295568638944778;0.597402597402597;nan
Bentleigh - McKinnon;0.0854335283463807;0.768231768231768;nan
Bentleigh East (North);0.00167009944474877;0.98001998001998;nan
Bentleigh East (South);0.00281184887509752;0.964035964035964;nan
Berwick - North;0.0835127503344916;0.772227772227772;nan
Berwick - South;0.13902107276987;0.709290709290709;nan
Blackburn;0.00347620363676145;0.957042957042957;nan
Blackburn South;0.318467176323396;0.559440559440559;nan
Boronia;0.0799015753313319;0.803196803196803;nan
Box Hill;0.021966929853891;0.882117882117882;nan
Box Hill North;0.227329655139684;0.655344655344655;nan
Braeside;0.509418213693471;0.704295704295704;nan
Braybrook;0.0892207077903226;0.763236763236763;nan
Brighton (Vic.);0.00973055329095801;0.932067932067932;nan
Brighton East;0.127014614497013;0.734265734265734;nan
Broadmeadows;0.0466423179217954;0.833166833166833;nan
Brunswick;0.0152416654091489;0.906093906093906;nan
Brunswick East;0.0197320099385033;0.885114885114885;nan
Brunswick West;0.0323346035850561;0.832167832167832;nan
Bulleen;0.049491812283684;0.842157842157842;nan
Bundoora - East;0.134145340730519;0.717282717282717;nan
Bundoora - North;0.0422964130965266;0.852147852147852;nan
Bundoora - West;0.0185869947186264;0.902097902097902;nan
Bunyip - Garfield;0.0730956063835851;0.794205794205794;nan
Burnside;0.0921757994096456;0.772227772227772;nan
Burnside Heights;0.00526892107262106;0.958041958041958;nan
Burwood;0.00199756547684314;0.963036963036963;nan
Burwood East;0.0708028959617239;0.782217782217782;nan
Cairnlea;0.00188662353503337;0.969030969030969;nan
Camberwell;0.00068654907979887;0.985014985014985;nan
Campbellfield - Coolaroo;0.000331726138156799;0.99000999000999;nan
Carlton;0.00426191788137102;0.955044955044955;nan
Carlton North - Princes Hill;0.000291433657728357;0.992007992007992;nan
Carnegie;0.00627441785909353;0.919080919080919;nan
Caroline Springs;0.18158917682319;0.686313686313686;nan
Carrum - Patterson Lakes;0.0069562662373946;0.943056943056943;nan
Carrum Downs;0.456095435910555;0.48951048951049;nan
Caulfield - North;0.0605390412932277;0.807192807192807;nan
Caulfield - South;0.026305412202089;0.861138861138861;nan
Chelsea - Bonbeach;0.011135871981271;0.915084915084915;nan
Chelsea Heights;0.142168853131933;0.714285714285714;nan
Cheltenham - Highett (East);0.111880025834305;0.748251748251748;nan
Cheltenham - Highett (West);0.000161997809039867;0.993006993006993;nan
Chirnside Park;0.00197278027705287;0.965034965034965;nan
Clarinda - Oakleigh South;0.225918879788966;0.636363636363636;nan
Clayton;0.0306034832458008;0.887112887112887;nan
Clayton South;0.0729835290622299;0.807192807192807;nan
Coburg;0.121705177191291;0.73026973026973;nan
Coburg North;0.0773624077201729;0.786213786213786;nan
Collingwood;0.0171695671673631;0.876123876123876;nan
Craigieburn - Central;0.00465528504052872;0.954045954045954;nan
Craigieburn - North;0.0609279004032277;0.806193806193806;nan
Craigieburn - South;0.0454715661656502;0.842157842157842;nan
Craigieburn - West;0.00850244045189056;0.927072927072927;nan
Cranbourne;0.116963261497056;0.699300699300699;nan
Cranbourne East;0.270690355792622;0.593406593406593;nan
Cranbourne North;0.0722850313175134;0.794205794205794;nan
Cranbourne South;0.358556211674879;0.549450549450549;nan
Cranbourne West;0.0928362972513543;0.771228771228771;nan
Croydon - East;0.504631595842642;0.511488511488511;nan
Croydon - West;0.0698347975413962;0.763236763236763;nan
Croydon Hills - Warranwood;0.0137796427635455;0.887112887112887;nan
Croydon South;0.0169214035476823;0.903096903096903;nan
Dandenong;0.0217094002739187;0.898101898101898;nan
Dandenong North;0.037020923058728;0.838161838161838;nan
Deer Park - Derrimut;0.0011994455042983;0.971028971028971;nan
Delahey;0.114342321727082;0.736263736263736;nan
Dingley Village;0.0180719980471754;0.893106893106893;nan
Docklands;0.0054155816150975;0.947052947052947;nan
Doncaster;0.0892501446376135;0.753246753246753;nan
Doncaster East (North);0.115151846089733;0.755244755244755;nan
Doncaster East (South);0.0590361675227294;0.799200799200799;nan
Donvale - Park Orchards;0.329047604498486;0.561438561438561;nan
Doreen;0.106765955879627;0.738261738261738;nan
Doveton;0.0590109585971745;0.819180819180819;nan
Dromana;0.0171278169435268;0.917082917082917;nan
East Melbourne;0.0361413047747218;0.867132867132867;nan
Edithvale - Aspendale;0.0524033329289749;0.824175824175824;nan
Elsternwick;0.126793899277656;0.734265734265734;nan
Eltham;0.0653613472710032;0.807192807192807;nan
Elwood;2.33275358877188e-05;1;nan
Emerald - Cockatoo;0.150779184094624;0.7002997002997;nan
Endeavour Hills - North;0.00569659946245325;0.933066933066933;nan
Endeavour Hills - South;0.0535316136515715;0.838161838161838;nan
Epping - East;0.036745164779248;0.835164835164835;nan
Epping - South;0.0483808106670074;0.82017982017982;nan
Epping - West;0.0210765562288661;0.892107892107892;nan
Essendon - Aberfeldie;0.306340429645329;0.597402597402597;nan
Fawkner;0.00491458757512452;0.949050949050949;nan
Ferntree Gully (North);0.0033948311719283;0.964035964035964;nan
Ferntree Gully (South) - Upper Ferntree Gully;0.0291181882182218;0.872127872127872;nan
Fitzroy;0.0148806159695793;0.892107892107892;nan
Fitzroy North;0.0168982449679191;0.899100899100899;nan
Flemington;0.0431363902313102;0.863136863136863;nan
Flemington Racecourse;0.153760658508431;0.796203796203796;nan
Flinders;0.0105411681846048;0.927072927072927;nan
Footscray;0.0704269224574791;0.796203796203796;nan
Forest Hill;0.124542213434092;0.716283716283716;nan
Frankston;0.189554587063049;0.668331668331668;nan
Frankston North;3.49179220473243e-07;1;nan
Frankston South;0.0097890299064483;0.933066933066933;nan
Gisborne;4.80690752258716e-05;1;nan
Gladstone Park - Westmeadows;0.644472950822111;0.438561438561439;nan
Glen Iris - East;0.00206498640998237;0.96003996003996;nan
Glen Waverley - East;0.940759503107158;0.322677322677323;nan
Glen Waverley - West;0.649882370522219;0.437562437562438;nan
Glenroy;0.123407319793019;0.739260739260739;nan
Gowanbrae;0.00208707860071865;0.967032967032967;nan
Greensborough;0.0364593484231847;0.85014985014985;nan
Greenvale - Bulla;0.00734988407541601;0.927072927072927;nan
Hadfield;0.300800238971512;0.595404595404595;nan
Hallam;0.000981072589953462;0.982017982017982;nan
Hampton;0.00244020108836682;0.961038961038961;nan
Hampton Park - Lynbrook;3.81989986596134e-05;1;nan
Hastings - Somers;0.0604836102821876;0.808191808191808;nan
Hawthorn;0.00653927129194519;0.945054945054945;nan
Hawthorn East;0.0155884735412461;0.9000999000999;nan
Healesville - Yarra Glen;0.0523828588419857;0.826173826173826;nan
Heidelberg - Rosanna;0.0259244941447627;0.876123876123876;nan
Heidelberg West;0.000587324361422528;0.981018981018981;nan
Hillside;0.440225058703014;0.502497502497502;nan
Hoppers Crossing - North;0.158048213054655;0.687312687312687;nan
Hoppers Crossing - South;0.209650844974956;0.635364635364635;nan
Hughesdale;0.0684278248989739;0.802197802197802;nan
Hurstbridge;0.154577187274294;0.71028971028971;nan
Ivanhoe;0.00807907057813785;0.922077922077922;nan
Ivanhoe East - Eaglemont;0.0306794025418047;0.854145854145854;nan
Keilor;0.0117313345617391;0.908091908091908;nan
Keilor Downs;0.0428644246830718;0.838161838161838;nan
Keilor East;0.123787190803546;0.715284715284715;nan
Kensington (Vic.);4.84428030078467e-05;1;nan
Kew;0.142572577492383;0.694305694305694;nan
Kew East;0.0277201570189627;0.889110889110889;nan
