"","V1","V2","V3","V4","V5"
"1",0,22419,0,22419,0
"2",0,19538,0,19538,0
"3",0,41210,0,41210,0
"4",0,22681,0,22681,0
"5",0,33478,0,33478,0
"6",0,45868,0,45868,0
"7",0,33476,0,33476,0
"8",0,18900,0,18900,0
"9",0,24372,0,24372,0
"10",0,37296,0,37296,0
"11",0,17439,0,17439,0
"12",0,43140,0,43140,0
"13",0,19261,0,19261,0
"14",0,47695,0,47695,0
"15",0,38161,0,38161,0
"16",0,45454,0,45454,0
"17",0,30186,0,30186,0
"18",0,27579,0,27579,0
"19",0,28913,0,28913,0
"20",0,31719,0,31719,0
"21",0,22335,0,22335,0
"22",0,53417,0,53417,0
"23",0,34376,0,34376,0
"24",0,31355,0,31355,0
"25",0,54300,0,54300,0
"26",0,54056,0,54056,0
"27",0,50974,0,50974,0
"28",0,25430,0,25430,0
"29",0,55677,0,55677,0
"30",0,49366,0,49366,0
"31",0,42179,0,42179,0
"32",0,54,0,54,0
"33",0,41699,0,41699,0
"34",0,54574,0,54574,0
"35",0,36563,0,36563,0
"36",0,28285,0,28285,0
"37",0,67698,0,67698,0
"38",0,30374,0,30374,0
"39",0,36726,0,36726,0
"40",0,26565,0,26565,0
"41",0,22767,0,22767,0
"42",0,16852,0,16852,0
"43",0,15165,0,15165,0
"44",0,19123,0,19123,0
"45",0,10140,0,10140,0
"46",0,11613,0,11613,0
"47",0,28804,0,28804,0
"48",0,24287,0,24287,0
"49",0,18732,0,18732,0
"50",0,49304,0,49304,0
"51",0,33260,0,33260,0
"52",0,51781,0,51781,0
"53",0,22361,0,22361,0
"54",0,47039,0,47039,0
"55",0,41568,0,41568,0
"56",0,29200,0,29200,0
"57",0,49039,0,49039,0
"58",0,50289,0,50289,0
"59",0,42128,0,42128,0
"60",0,37740,0,37740,0
"61",0,12982,0,12982,0
"62",0,56638,0,56638,0
"63",0,26872,0,26872,0
"64",0,22582,0,22582,0
"65",0,26379,0,26379,0
"66",0,47026,0,47026,0
"67",0,28983,0,28983,0
"68",0,63757,0,63757,0
"69",0,18183,0,18183,0
"70",0,23489,0,23489,0
"71",0,17668,0,17668,0
"72",0,22646,0,22646,0
"73",0,33474,0,33474,0
"74",0,28944,0,28944,0
"75",0,45534,0,45534,0
"76",0,54514,0,54514,0
"77",0,41680,0,41680,0
"78",0,18980,0,18980,0
"79",0,31973,0,31973,0
"80",0,39005,0,39005,0
"81",0,33165,0,33165,0
"82",0,39652,0,39652,0
"83",0,11318,0,11318,0
"84",0,66826,0,66826,0
"85",0,50392,0,50392,0
"86",0,54907,0,54907,0
"87",0,18199,0,18199,0
"88",0,24314,0,24314,0
"89",0,29278,0,29278,0
"90",0,51780,0,51780,0
"91",0,32478,0,32478,0
"92",0,33857,0,33857,0
"93",0,35695,0,35695,0
"94",0,45722,0,45722,0
"95",0,25365,0,25365,0
"96",0,28074,0,28074,0
"97",0,13518,0,13518,0
"98",0,30376,0,30376,0
"99",0,29030,0,29030,0
"100",0,51740,0,51740,0
"101",0,43486,0,43486,0
"102",0,39357,0,39357,0
"103",0,25644,0,25644,0
"104",0,29397,0,29397,0
"105",0,28458,0,28458,0
"106",0,18835,0,18835,0
"107",0,22391,0,22391,0
"108",0,67891,0,67891,0
"109",0,30359,0,30359,0
"110",0,34486,0,34486,0
"111",0,34251,0,34251,0
"112",0,26372,0,26372,0
