SA2,FT statistic,FT p-value,FT degrees of freedom
Abbotsford,31892,0,6
Airport West,32652,0,6
Albert Park,65044,0,6
Alphington - Fairfield,38764,0,6
Altona,56536,0,6
Altona Meadows,83904,0,6
Altona North,58328,0,6
Ardeer - Albion,31320,0,6
Armadale,37484,0,6
Ascot Vale,62732,0,6
Ashburton (Vic.),34724,0,6
Ashwood - Chadstone,76872,0,6
Aspendale Gardens - Waterways,42036,0,6
Bacchus Marsh,89000,0,6
Balwyn,71844,0,6
Balwyn North,94264,0,6
Bayswater,51924,0,6
Bayswater North,50396,0,6
Beaconsfield - Officer,57900,0,6
Beaumaris,63444,0,6
Belgrave - Selby,44784,0,6
Bentleigh - McKinnon,101092,0,6
Bentleigh East (North),66988,0,6
Bentleigh East (South),59276,0,6
Berwick - North,102864,0,6
Berwick - South,116944,0,6
Blackburn,95568,0,6
Blackburn South,47712,0,6
Boronia,94884,0,6
Box Hill,84184,0,6
Box Hill North,78744,0,6
Braeside,60,4.50101664801213e-11,6
Braybrook,74684,0,6
Brighton (Vic.),100616,0,6
Brighton East,71580,0,6
Broadmeadows,52520,0,6
Brunswick,103348,0,6
Brunswick East,45468,0,6
Brunswick West,56680,0,6
Bulleen,50820,0,6
Bundoora - East,43612,0,6
Bundoora - North,32396,0,6
Bundoora - West,27404,0,6
Bunyip - Garfield,38380,0,6
Burnside,20948,0,6
Burnside Heights,26020,0,6
Burwood,50508,0,6
Burwood East,46356,0,6
Cairnlea,43460,0,6
Camberwell,94748,0,6
Campbellfield - Coolaroo,67808,0,6
Carlton,64936,0,6
Carlton North - Princes Hill,35596,0,6
Carnegie,76064,0,6
Caroline Springs,87252,0,6
Carrum - Patterson Lakes,50908,0,6
Carrum Downs,86860,0,6
Caulfield - North,88792,0,6
Caulfield - South,77560,0,6
Chelsea - Bonbeach,59532,0,6
Chelsea Heights,24640,0,6
Cheltenham - Highett (East),97372,0,6
Cheltenham - Highett (West),48048,0,6
Chirnside Park,44444,0,6
Clarinda - Oakleigh South,52324,0,6
Clayton,80212,0,6
Clayton South,54476,0,6
Coburg,113340,0,6
Coburg North,32052,0,6
Collingwood,32160,0,6
Craigieburn - Central,36080,0,6
Craigieburn - North,49648,0,6
Craigieburn - South,69948,0,6
Craigieburn - West,58692,0,6
Cranbourne,84852,0,6
Cranbourne East,109340,0,6
Cranbourne North,86268,0,6
Cranbourne South,38676,0,6
Cranbourne West,63084,0,6
Croydon - East,63652,0,6
Croydon - West,58308,0,6
Croydon Hills - Warranwood,82164,0,6
Croydon South,21064,0,6
Dandenong,122052,0,6
Dandenong North,98856,0,6
Deer Park - Derrimut,110936,0,6
Delahey,36428,0,6
Dingley Village,47496,0,6
Docklands,41424,0,6
Doncaster,94604,0,6
Doncaster East (North),68700,0,6
Doncaster East (South),62152,0,6
Donvale - Park Orchards,73616,0,6
Doreen,91652,0,6
Doveton,46224,0,6
Dromana,48032,0,6
East Melbourne,18736,0,6
Edithvale - Aspendale,55592,0,6
Elsternwick,48884,0,6
Eltham,106812,0,6
Elwood,61748,0,6
Emerald - Cockatoo,79772,0,6
Endeavour Hills - North,53472,0,6
Endeavour Hills - South,61140,0,6
Epping - East,57180,0,6
Epping - South,35804,0,6
Epping - West,46380,0,6
Essendon - Aberfeldie,119276,0,6
Fawkner,57904,0,6
Ferntree Gully (North),60132,0,6
Ferntree Gully (South) - Upper Ferntree Gully,65768,0,6
Fitzroy,38796,0,6
Fitzroy North,50904,0,6
Flemington,38624,0,6
Flemington Racecourse,232,2.86558669252375e-47,6
Flinders,23676,0,6
Footscray,62524,0,6
Forest Hill,47148,0,6
Frankston,92500,0,6
Frankston North,79436,0,6
Frankston South,81908,0,6
Gisborne,57476,0,6
Gladstone Park - Westmeadows,77924,0,6
Glen Iris - East,75844,0,6
Glen Waverley - East,98752,0,6
Glen Waverley - West,86468,0,6
Glenroy,91220,0,6
Gowanbrae,12656,0,6
Greensborough,92360,0,6
Greenvale - Bulla,74460,0,6
Hadfield,24628,0,6
Hallam,46508,0,6
